Sujet      | EEG (s)      | Hypno (s)    | Différence
-------------------------------------------------------
s10        |     25548.90 |        25549 |         0.10
s11        |     31644.48 |        31645 |         0.52
s12        |     28432.24 |        28433 |         0.76
s13        |     27655.40 |        27656 |         0.60
s14        |     24302.92 |        24302 |        -0.92
s15        |     26342.88 |        26343 |         0.12
s16        |     26407.64 |        26407 |        -0.64
s17        |     27769.62 |        27769 |        -0.62
s18        |     25755.98 |        25756 |         0.02
s19        |     24261.56 |        29950 |      5688.44
s1         |     28409.78 |        28410 |         0.22
s20        |     27292.58 |        27293 |         0.42
s21        |     27141.66 |        27142 |         0.34
s22        |     25498.72 |        25498 |        -0.72
s23        |     28462.68 |        28463 |         0.32
s24        |     40173.66 |        40174 |         0.34
s25        |     32136.20 |        32137 |         0.80
s26        |     28307.44 |        28307 |        -0.44
s27        |     32898.78 |        32899 |         0.22
s28        |     26756.98 |        26757 |         0.02
s29        |     29949.76 |        29950 |         0.24
s2         |     24517.38 |        24518 |         0.62
s30        |     28122.34 |        28123 |         0.66
s31        |     33802.00 |        33803 |         1.00
s32        |     29508.68 |        29508 |        -0.68
s33        |     28037.72 |        28037 |        -0.72
s34        |     30073.38 |        30074 |         0.62
s35        |     29794.56 |        29795 |         0.44
s36        |     28493.04 |        28494 |         0.96
s37        |     23215.38 |        23216 |         0.62
s38        |     31810.90 |        31811 |         0.10
s3         |     28315.42 |        28316 |         0.58
s4         |     21610.58 |        21610 |        -0.58
s5         |     32377.00 |        32377 |         0.00
s6         |     24412.50 |        24413 |         0.50
s7         |     26862.66 |        26863 |         0.34
s8         |     26461.76 |        26462 |         0.24
s9         |     29784.96 |        29784 |        -0.96
