56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
---------------------------------------------------------------------------------------
hyp_jbe_s19            | hyp_per_s19            |    809 |    999 |    23.3% |      649
hyp_jbe_s23            | hyp_per_s23            |    949 |    949 |    74.6% |      782
hyp_jbe_s25            | hyp_per_s25            |   1072 |   1072 |    78.6% |      866
hyp_jbe_s1             | hyp_per_s1             |    947 |    947 |    81.5% |      502
hyp_jbe_s35            | hyp_per_s35            |    994 |    994 |    83.1% |      738
hyp_jbe_s11            | hyp_per_s11            |   1055 |   1055 |    83.1% |      866
hyp_jbe_s2             | hyp_per_s2             |    818 |    818 |    83.2% |      714
hyp_jbe_s14            | hyp_per_s14            |    811 |    811 |    83.9% |      690
hyp_jbe_s18            | hyp_per_s18            |    859 |    859 |    84.9% |      727
hyp_jbe_s32            | hyp_per_s32            |    984 |    984 |    87.3% |      723
hyp_jbe_s6             | hyp_per_s6             |    814 |    814 |    87.4% |      720
hyp_jbe_s29            | hyp_per_s29            |    999 |    999 |    88.4% |      878
hyp_jbe_s37            | hyp_per_s37            |    774 |    774 |    88.5% |      601
hyp_jbe_s26            | hyp_per_s26            |    944 |    944 |    88.9% |      818
hyp_jbe_s10            | hyp_per_s10            |    852 |    852 |    89.6% |      778
hyp_jbe_s16            | hyp_per_s16            |    881 |    881 |    89.9% |      739
hyp_jbe_s4             | hyp_per_s4             |    721 |    721 |    91.2% |      613
hyp_jbe_s33            | hyp_per_s33            |    935 |    935 |    96.0% |      821

--- Paires SUJETS DIFFERENTS (ordre decroissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
---------------------------------------------------------------------------------------
hyp_per_s19            | hyp_per_s29            |    999 |    999 |   100.0% |      929
hyp_jbe_s29            | hyp_per_s19            |    999 |    999 |    88.4% |      878
hyp_jbe_s11            | hyp_per_s3             |   1055 |    944 |    50.5% |      740
hyp_per_s37            | hyp_per_s6             |    774 |    814 |    50.5% |      669
hyp_per_s25            | hyp_per_s3             |   1072 |    944 |    50.5% |      771
hyp_jbe_s25            | hyp_jbe_s26            |   1072 |    944 |    50.4% |      697
hyp_per_s20            | hyp_per_s3             |    910 |    944 |    50.3% |      801
hyp_jbe_s11            | hyp_per_s38            |   1055 |   1061 |    49.8% |      749
hyp_jbe_s6             | hyp_per_s37            |    814 |    774 |    49.2% |      646
hyp_jbe_s4             | hyp_per_s28            |    721 |    892 |    49.2% |      592
hyp_jbe_s33            | hyp_per_s16            |    935 |    881 |    49.0% |      715
hyp_per_s18            | hyp_per_s36            |    859 |    950 |    48.9% |      720
hyp_per_s11            | hyp_per_s3             |   1055 |    944 |    48.9% |      794
hyp_per_s28            | hyp_per_s4             |    892 |    721 |    48.9% |      612
hyp_jbe_s18            | hyp_per_s36            |    859 |    950 |    48.8% |      692
hyp_per_s16            | hyp_per_s33            |    881 |    935 |    48.7% |      749
hyp_jbe_s37            | hyp_jbe_s6             |    774 |    814 |    48.7% |      559
hyp_jbe_s25            | hyp_per_s26            |   1072 |    944 |    48.5% |      765
hyp_jbe_s37            | hyp_per_s6             |    774 |    814 |    48.3% |      578
hyp_per_s38            | hyp_per_s9             |   1061 |    993 |    47.8% |      778
hyp_jbe_s16            | hyp_jbe_s33            |    881 |    935 |    47.2% |      689
hyp_jbe_s16            | hyp_per_s33            |    881 |    935 |    47.1% |      719
hyp_per_s10            | hyp_per_s14            |    852 |    811 |    46.9% |      688
hyp_per_s34            | hyp_per_s4             |   1003 |    721 |    46.7% |      621
hyp_jbe_s4             | hyp_per_s34            |    721 |   1003 |    46.6% |      603
hyp_per_s3             | hyp_per_s38            |    944 |   1061 |    46.5% |      742
hyp_per_s30            | hyp_per_s31            |    938 |   1127 |    46.4% |      836
hyp_jbe_s11            | hyp_per_s25            |   1055 |   1072 |    45.5% |      784
hyp_per_s20            | hyp_per_s34            |    910 |   1003 |    45.5% |      791
hyp_jbe_s25            | hyp_per_s3             |   1072 |    944 |    45.5% |      739
hyp_jbe_s19            | hyp_per_s9             |    809 |    993 |    44.9% |      657
hyp_per_s10            | hyp_per_s21            |    852 |    905 |    44.8% |      772
hyp_jbe_s25            | hyp_per_s34            |   1072 |   1003 |    44.7% |      767
hyp_jbe_s25            | hyp_per_s30            |   1072 |    938 |    44.5% |      755
hyp_jbe_s26            | hyp_per_s34            |    944 |   1003 |    44.5% |      769
hyp_per_s23            | hyp_per_s28            |    949 |    892 |    44.4% |      790
hyp_per_s26            | hyp_per_s28            |    944 |    892 |    44.3% |      794
hyp_per_s25            | hyp_per_s30            |   1072 |    938 |    44.2% |      791
hyp_per_s11            | hyp_per_s38            |   1055 |   1061 |    44.2% |      810
hyp_per_s25            | hyp_per_s34            |   1072 |   1003 |    43.9% |      807
hyp_per_s26            | hyp_per_s34            |    944 |   1003 |    43.8% |      841
hyp_jbe_s10            | hyp_per_s14            |    852 |    811 |    43.7% |      691
hyp_per_s25            | hyp_per_s26            |   1072 |    944 |    43.7% |      794
hyp_per_s3             | hyp_per_s34            |    944 |   1003 |    43.7% |      820
hyp_per_s21            | hyp_per_s30            |    905 |    938 |    43.5% |      841
hyp_jbe_s26            | hyp_per_s25            |    944 |   1072 |    43.5% |      722
hyp_jbe_s35            | hyp_per_s14            |    994 |    811 |    43.4% |      581
hyp_per_s20            | hyp_per_s25            |    910 |   1072 |    43.3% |      742
hyp_jbe_s29            | hyp_per_s28            |    999 |    892 |    43.2% |      747
hyp_per_s12            | hyp_per_s6             |    948 |    814 |    43.1% |      714
hyp_per_s26            | hyp_per_s30            |    944 |    938 |    43.1% |      867
hyp_jbe_s26            | hyp_per_s28            |    944 |    892 |    43.0% |      730
hyp_per_s20            | hyp_per_s31            |    910 |   1127 |    42.7% |      793
hyp_jbe_s10            | hyp_per_s21            |    852 |    905 |    42.7% |      778
hyp_per_s23            | hyp_per_s36            |    949 |    950 |    42.6% |      799
hyp_per_s28            | hyp_per_s6             |    892 |    814 |    42.4% |      712
hyp_jbe_s23            | hyp_per_s30            |    949 |    938 |    42.4% |      779
hyp_per_s26            | hyp_per_s32            |    944 |    984 |    42.3% |      814
hyp_jbe_s19            | hyp_per_s10            |    809 |    852 |    42.1% |      662
hyp_per_s14            | hyp_per_s35            |    811 |    994 |    42.1% |      672
hyp_jbe_s14            | hyp_jbe_s19            |    811 |    809 |    41.9% |      626
hyp_jbe_s19            | hyp_per_s14            |    809 |    811 |    41.8% |      627
hyp_jbe_s33            | hyp_per_s15            |    935 |    879 |    41.6% |      729
hyp_per_s23            | hyp_per_s4             |    949 |    721 |    41.4% |      637
hyp_per_s30            | hyp_per_s34            |    938 |   1003 |    41.4% |      840
hyp_jbe_s33            | hyp_per_s31            |    935 |   1127 |    41.3% |      774
hyp_jbe_s23            | hyp_per_s20            |    949 |    910 |    41.3% |      745
hyp_jbe_s4             | hyp_per_s23            |    721 |    949 |    41.0% |      619
hyp_per_s15            | hyp_per_s33            |    879 |    935 |    41.0% |      766
hyp_jbe_s6             | hyp_per_s12            |    814 |    948 |    40.8% |      692
hyp_jbe_s23            | hyp_per_s21            |    949 |    905 |    40.7% |      755
hyp_jbe_s6             | hyp_per_s28            |    814 |    892 |    40.6% |      689
hyp_jbe_s23            | hyp_per_s36            |    949 |    950 |    40.6% |      736
hyp_jbe_s26            | hyp_per_s30            |    944 |    938 |    40.6% |      788
hyp_jbe_s10            | hyp_jbe_s19            |    852 |    809 |    40.5% |      661
hyp_per_s12            | hyp_per_s37            |    948 |    774 |    40.5% |      660
hyp_jbe_s25            | hyp_per_s20            |   1072 |    910 |    40.3% |      712
hyp_jbe_s19            | hyp_per_s25            |    809 |   1072 |    40.3% |      601
