subject,stage,n_spectra,r2_fixed,r2_knee,delta_R2,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
01,S1,760,0.988914,0.992038,0.003125,3.778947,4.181579,-0.402632,1.845253,2.264936
01,S2,760,0.986978,0.988127,0.001149,2.989474,2.338158,0.651316,2.198781,2.640843
01,S3,665,0.992521,0.992375,-0.000146,2.714286,2.473684,0.240602,2.470739,2.957260
01,S4,760,0.991501,0.990249,-0.001252,2.657895,2.348684,0.309211,2.664331,3.020721
01,REM,760,0.985380,0.988090,0.002711,3.809211,4.015789,-0.206579,1.800009,2.169535
02,S1,760,0.981888,0.980728,-0.001160,4.002632,3.675000,0.327632,1.601458,2.102095
02,S2,760,0.987917,0.986843,-0.001073,2.815789,2.613158,0.202632,2.006677,2.508768
02,S3,646,0.989473,0.986665,-0.002808,2.738390,2.642415,0.095975,2.352619,2.647712
02,S4,760,0.988791,0.986483,-0.002308,2.839474,2.626316,0.213158,2.419129,2.704358
02,REM,760,0.986996,0.987108,0.000112,3.919737,3.623684,0.296053,1.727349,2.056820
03,S1,760,0.979623,0.957667,-0.021956,3.381579,2.860526,0.521053,1.692651,3.145868
03,S2,760,0.988265,0.979296,-0.008968,3.248684,2.376316,0.872368,2.051213,3.025409
03,S3,741,0.990737,0.982280,-0.008456,3.103914,2.373819,0.730094,2.315446,3.077563
03,S4,760,0.993697,0.991892,-0.001804,2.731579,2.580263,0.151316,2.636157,2.944465
03,REM,760,0.987173,0.979583,-0.007590,3.727632,3.230263,0.497368,1.798516,2.575900
04,S1,703,0.959329,0.974381,0.015052,3.665718,3.645804,0.019915,1.583208,1.684289
04,S2,760,0.988080,0.987622,-0.000457,3.019737,2.480263,0.539474,2.112184,2.415214
04,S3,532,0.990719,0.990787,0.000069,2.951128,2.513158,0.437970,2.336594,2.651887
04,S4,760,0.987671,0.987147,-0.000524,2.569737,2.582895,-0.013158,2.668062,2.872185
04,REM,760,0.985151,0.991487,0.006336,3.888158,4.390789,-0.502632,1.846127,2.386065
05,S1,760,0.970852,0.973929,0.003077,3.550000,3.097368,0.452632,1.738150,1.833016
05,S2,760,0.984318,0.981649,-0.002669,2.819737,2.139474,0.680263,2.193538,2.440376
05,S3,684,0.991824,0.988061,-0.003763,2.704678,2.077485,0.627193,2.474315,2.730440
05,S4,760,0.992335,0.990275,-0.002060,2.792105,2.505263,0.286842,2.732699,2.924559
05,REM,760,0.987676,0.988756,0.001080,4.231579,3.955263,0.276316,1.970526,2.186709
06,S1,760,0.983452,0.982372,-0.001080,3.764474,3.310526,0.453947,1.833465,2.318173
06,S2,760,0.988186,0.989784,0.001598,3.207895,2.407895,0.800000,2.220116,2.777567
06,S3,760,0.991502,0.992612,0.001110,2.957895,2.221053,0.736842,2.468259,3.001498
06,S4,760,0.993537,0.994006,0.000469,2.696053,2.451316,0.244737,2.752720,3.110648
