subject,stage,n_spectra,r2_fixed,r2_knee,delta_R2,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
01,S1,760,0.988549,0.992083,0.003535,3.744737,4.163158,-0.418421,1.820553,2.273426
01,S2,760,0.988039,0.989597,0.001558,2.930263,2.373684,0.556579,2.185371,2.685030
01,S3,665,0.992333,0.992548,0.000215,2.669173,2.467669,0.201504,2.469108,2.988839
01,S4,760,0.992325,0.991796,-0.000529,2.703947,2.555263,0.148684,2.670472,3.040914
01,REM,760,0.986532,0.988723,0.002191,3.836842,4.025000,-0.188158,1.765907,2.154558
02,S1,760,0.982477,0.981484,-0.000993,4.018421,3.717105,0.301316,1.611995,2.129227
02,S2,760,0.987598,0.987057,-0.000542,2.772368,2.610526,0.161842,2.007290,2.523678
02,S3,646,0.989655,0.986823,-0.002831,2.736842,2.667183,0.069659,2.353946,2.654862
02,S4,760,0.988822,0.986571,-0.002251,2.810526,2.617105,0.193421,2.421312,2.714891
02,REM,760,0.987024,0.986950,-0.000073,3.863158,3.617105,0.246053,1.718140,2.067469
03,S1,760,0.980375,0.958461,-0.021914,3.402632,2.835526,0.567105,1.726110,3.149930
03,S2,760,0.988259,0.980680,-0.007579,3.231579,2.355263,0.876316,2.086692,3.019560
03,S3,741,0.991104,0.983526,-0.007577,3.083671,2.363023,0.720648,2.357046,3.091515
03,S4,760,0.993978,0.992339,-0.001639,2.809211,2.569737,0.239474,2.676253,2.998603
03,REM,760,0.987986,0.981830,-0.006156,3.772368,3.425000,0.347368,1.811468,2.588448
04,S1,703,0.978663,0.981265,0.002601,3.908962,3.633001,0.275960,1.777041,1.954193
04,S2,760,0.990067,0.989957,-0.000110,3.073684,2.403947,0.669737,2.233733,2.552175
04,S3,532,0.991971,0.991859,-0.000111,2.930451,2.443609,0.486842,2.484541,2.772879
04,S4,760,0.991004,0.991012,0.000008,2.565789,2.782895,-0.217105,2.804312,3.041803
04,REM,760,0.987041,0.992648,0.005607,3.847368,4.409211,-0.561842,1.909238,2.444882
05,S1,760,0.976189,0.977158,0.000969,3.559211,3.081579,0.477632,1.753470,1.894413
05,S2,760,0.984870,0.981403,-0.003467,2.894737,2.186842,0.707895,2.186701,2.486535
05,S3,684,0.991814,0.988963,-0.002851,2.733918,2.184211,0.549708,2.460475,2.749902
05,S4,760,0.992674,0.990774,-0.001900,2.726316,2.446053,0.280263,2.718052,2.930240
05,REM,760,0.988563,0.989311,0.000747,4.350000,4.053947,0.296053,1.958849,2.201269
06,S1,760,0.983778,0.982912,-0.000865,3.703947,3.364474,0.339474,1.837807,2.416352
06,S2,760,0.987365,0.989335,0.001970,3.031579,2.239474,0.792105,2.208450,2.809587
06,S3,760,0.990940,0.992284,0.001343,2.886842,2.142105,0.744737,2.460822,3.017771
06,S4,760,0.993357,0.994293,0.000936,2.553947,2.453947,0.100000,2.744379,3.118471
06,REM,760,0.968424,0.971472,0.003047,3.873684,3.584211,0.289474,1.786451,2.385577
07,S1,760,0.980040,0.968814,-0.011225,3.669737,3.131579,0.538158,1.721531,2.394509
07,S2,760,0.984268,0.980018,-0.004250,3.410526,2.680263,0.730263,2.089765,2.735348
07,S3,665,0.991022,0.987118,-0.003904,3.168421,2.610526,0.557895,2.365449,2.901069
07,S4,760,0.994091,0.992777,-0.001313,3.097368,2.909211,0.188158,2.768541,3.030744
07,REM,760,0.987450,0.984584,-0.002866,3.700000,3.378947,0.321053,1.902041,2.548099
08,S1,760,0.985453,0.990752,0.005299,3.443421,3.568421,-0.125000,1.931883,3.050562
08,S2,760,0.985646,0.991361,0.005715,3.031579,2.660526,0.371053,2.265054,3.107794
08,S3,646,0.988584,0.992881,0.004297,2.826625,2.741486,0.085139,2.455002,3.179213
08,S4,760,0.991118,0.994689,0.003570,2.536842,2.992105,-0.455263,2.751382,3.304844
08,REM,760,0.981592,0.987008,0.005416,3.592105,4.009211,-0.417105,1.899054,2.732332
09,S1,760,0.982143,0.980468,-0.001675,3.817105,3.817105,0.000000,1.810650,2.261728
09,S2,760,0.988614,0.990317,0.001703,3.796053,3.389474,0.406579,2.154893,2.547975
09,S3,760,0.992645,0.993944,0.001299,3.210526,3.002632,0.207895,2.486579,2.794756
09,S4,760,0.993984,0.994566,0.000582,3.061842,3.185526,-0.123684,2.665717,2.902535
09,REM,760,0.979389,0.982214,0.002825,3.776316,3.807895,-0.031579,1.739551,2.098437
10,S1,760,0.979659,0.982939,0.003280,4.319737,3.985526,0.334211,1.717995,1.941130
10,S2,760,0.988812,0.988768,-0.000044,3.057895,2.443421,0.614474,2.205962,2.824520
10,S3,703,0.992684,0.991989,-0.000695,2.692745,2.324324,0.368421,2.470815,2.937040
10,S4,760,0.993578,0.994049,0.000471,2.526316,2.639474,-0.113158,2.654570,3.025318
10,REM,760,0.986629,0.989658,0.003029,4.351316,4.292105,0.059211,1.845208,2.264383
11,S1,760,0.967994,0.970216,0.002222,3.185526,3.640789,-0.455263,2.060467,2.353097
11,S2,760,0.982720,0.983605,0.000886,2.927632,3.206579,-0.278947,2.257186,2.671351
11,S3,760,0.990485,0.992222,0.001737,2.778947,3.351316,-0.572368,2.485490,2.899841
11,S4,760,0.981737,0.982125,0.000388,2.853947,3.350000,-0.496053,2.877431,3.154200
11,REM,760,0.986970,0.989707,0.002737,3.484211,3.902632,-0.418421,2.059531,2.323021
12,S1,760,0.983321,0.982594,-0.000728,4.043421,3.861842,0.181579,1.740783,2.109226
12,S2,760,0.984046,0.983096,-0.000950,3.536842,3.207895,0.328947,2.041883,2.475933
12,S3,760,0.991079,0.989977,-0.001101,3.190789,3.218421,-0.027632,2.452078,2.787348
12,S4,760,0.990328,0.990425,0.000098,2.960526,3.382895,-0.422368,2.695295,2.920610
12,REM,760,0.977233,0.976166,-0.001067,3.993421,4.126316,-0.132895,1.688657,1.855747
13,S1,760,0.987180,0.978178,-0.009001,3.289474,2.328947,0.960526,1.846025,2.789590
13,S2,760,0.988114,0.984122,-0.003991,3.067105,2.878947,0.188158,2.139843,2.808343
13,S3,684,0.992283,0.991345,-0.000938,2.723684,2.726608,-0.002924,2.311369,2.849477
13,S4,760,0.991447,0.991919,0.000472,2.988158,3.423684,-0.435526,2.613903,2.897049
13,REM,760,0.990919,0.988946,-0.001973,3.371053,3.127632,0.243421,1.904767,2.453836
14,S1,760,0.982378,0.978593,-0.003785,3.744737,3.623684,0.121053,1.653794,2.383240
14,S2,760,0.990995,0.989879,-0.001115,3.402632,2.828947,0.573684,2.149226,2.863047
14,S3,456,0.991293,0.993127,0.001833,2.890351,3.118421,-0.228070,2.301356,2.928569
14,S4,760,0.993938,0.995267,0.001329,2.722368,3.400000,-0.677632,2.561019,3.014919
14,REM,760,0.989866,0.990031,0.000165,3.843421,4.076316,-0.232895,1.834504,2.373766
15,S1,760,0.973221,0.959450,-0.013771,4.068421,3.600000,0.468421,1.430647,2.204335
15,S2,760,0.990693,0.993071,0.002378,3.752632,3.942105,-0.189474,2.004587,2.348269
15,S3,760,0.989637,0.992448,0.002811,3.335526,3.723684,-0.388158,2.138841,2.467750
15,S4,760,0.993650,0.994954,0.001304,3.355263,3.927632,-0.572368,2.383287,2.641411
15,REM,760,0.979757,0.980006,0.000249,3.907895,3.834211,0.073684,1.748694,2.267417
16,S1,760,0.986176,0.984133,-0.002043,3.586842,3.375000,0.211842,1.718222,2.675406
16,S2,760,0.985930,0.988485,0.002555,3.105263,2.751316,0.353947,2.038816,3.005498
16,S3,722,0.987166,0.990095,0.002929,2.729917,2.890582,-0.160665,2.292463,3.286014
16,S4,760,0.991499,0.994183,0.002684,2.434211,2.859211,-0.425000,2.568534,3.208779
16,REM,760,0.983630,0.986623,0.002993,3.513158,3.928947,-0.415789,1.749955,2.662992
17,S1,760,0.980241,0.972808,-0.007433,3.617105,3.267105,0.350000,1.728022,2.419602
17,S2,760,0.988052,0.978872,-0.009180,3.451316,2.605263,0.846053,2.109312,2.803928
17,S3,342,0.991320,0.988962,-0.002358,3.014620,2.514620,0.500000,2.424293,2.968336
17,S4,760,0.993381,0.993894,0.000513,2.706579,2.863158,-0.156579,2.698168,3.024706
17,REM,760,0.984068,0.984384,0.000316,3.635526,3.457895,0.177632,1.832169,2.436034
18,S1,589,0.983169,0.983949,0.000781,3.926995,3.957555,-0.030560,1.721618,2.149160
18,S2,760,0.990753,0.990578,-0.000175,3.118421,2.719737,0.398684,2.246285,2.839733
18,S3,760,0.988702,0.989430,0.000727,3.175000,2.788158,0.386842,2.374673,2.922560
