state,electrode,acc_reference_pct,acc_both_pct,gain_pts,gain_ci_lo,gain_ci_hi,p_gain_maxstat,n_subjects,n_trials,n_bootstraps,n_perm
REM,Fz,47.261143999190445,44.1082523780611,-3.152891621129328,-8.667969540578822,6.380919854280501,0.991008991008991,36,61,200,1000
REM,Cz,49.084079639749014,41.242170107265736,-7.8419095324833,-10.672181744586124,-2.3444140862173626,1.0,36,61,200,1000
REM,Pz,52.80956537138233,45.463304493017574,-7.346260878364704,-9.538744687310263,-5.479090771098974,1.0,36,61,200,1000
REM,C3,51.1736364096337,45.58142329487955,-5.592213114754099,-8.62666970248937,-0.9883500303582392,1.0,36,61,200,1000
REM,C4,50.76739273426432,41.78959218781622,-8.977800546448087,-11.156648451730423,-4.777309755110307,1.0,36,61,200,1000
REM,T3,47.62708712811173,41.82678101598865,-5.800306112123056,-11.03945304594212,4.615209471766857,1.0,36,61,200,1000
REM,T4,51.497659886662575,50.85798674357419,-0.6396731430884429,-5.4725764015381495,8.69959269378669,0.932067932067932,36,61,200,1000
REM,Fp1,42.97902752479253,39.14192471159685,-3.8371028131957114,-8.982872900222626,1.4211445051608962,0.995004995004995,36,61,200,1000
REM,Fp2,44.06563701679822,36.27041590771099,-7.795221109087229,-10.271579639749037,-3.7377934628617626,1.0,36,61,200,1000
REM,O1,54.04835812588546,48.146023072252596,-5.902335053632868,-7.793336369156038,-4.350586925723538,1.0,36,61,200,1000
REM,O2,54.57623709775348,50.72158975915806,-3.8546473385954267,-4.906268973891917,-2.9941433920258897,0.995004995004995,36,61,200,1000
REM,F3,48.52517202995344,40.44398907103826,-8.0811829589152,-11.479014875531268,-1.4083055049585051,1.0,36,61,200,1000
REM,F4,49.715353673345454,39.67251062537947,-10.042843047966004,-12.25814612426634,-6.47262699858328,1.0,36,61,200,1000
REM,P3,53.47491651487552,47.16203703703705,-6.312879477838494,-8.50808287795993,-4.220868751264934,1.0,36,61,200,1000
REM,P4,54.30899615462456,47.11876391418743,-7.190232240437158,-9.468794272414485,-5.318318660190252,1.0,36,61,200,1000
REM,FC1,50.165540882412465,42.93916970248939,-7.226371179923093,-10.45904169196519,-2.061133879781409,1.0,36,61,200,1000
REM,FC2,48.8266292248533,41.81348664238009,-7.013142582473185,-10.879882614855282,0.442913883829189,1.0,36,61,200,1000
REM,CP1,50.95089556769883,45.71935083991097,-5.231544727787894,-8.469692369965587,0.5249443432503559,1.0,36,61,200,1000
REM,CP2,51.9688322201983,46.04162871888283,-5.927203501315523,-8.807807124063958,-1.9224979761181942,1.0,36,61,200,1000
