state,electrode,acc_reference_pct,acc_both_pct,gain_pts,gain_ci_lo,gain_ci_hi,p_gain_maxstat,n_subjects,n_trials,n_bootstraps,n_perm
S2,Fz,57.1787112932605,54.69304037644201,-2.485670916818458,-3.926583687512647,-0.9753212912365827,0.997002997002997,36,61,1000,1000
S2,Cz,56.450331410645646,53.41698289819878,-3.033348512446871,-4.2858227079538525,-1.846475915806516,0.999000999000999,36,61,1000,1000
S2,Pz,57.158907609795605,54.988610605140686,-2.170297004654928,-3.7166691965189242,-0.7057022869864403,0.989010989010989,36,61,1000,1000
S2,C3,56.48730520137624,52.88393543817035,-3.6033697632058312,-5.363856000809544,-1.7955626391418766,0.999000999000999,36,61,1000,1000
S2,C4,55.523932402347675,52.09408267557182,-3.429849726775959,-5.209155535316743,-1.6111364096336767,0.999000999000999,36,61,1000,1000
S2,T3,51.11880692167576,49.38176229508194,-1.7370446265938049,-5.345894049787499,6.4111515887472095,0.977022977022977,36,61,1000,1000
S2,T4,44.411880186197145,42.83264268366727,-1.579237502529852,-7.5340897591580624,7.001555859137817,0.971028971028971,36,61,1000,1000
S2,Fp1,46.83145112325451,50.49697176684881,3.665520643594419,-3.7268518518518507,12.86758753288808,0.6693306693306693,36,61,1000,1000
S2,Fp2,52.17790174053833,49.680585913782686,-2.4973158267557185,-5.518999190447275,4.34261789111517,0.997002997002997,36,61,1000,1000
S2,O1,56.52859239020442,56.38699908925317,-0.14159330095122416,-1.9962431693989073,1.7759562841530019,0.8731268731268731,36,61,1000,1000
S2,O2,57.675941105039406,56.706215846994525,-0.9697252580449309,-2.5784886662618924,0.8223284760170114,0.926073926073926,36,61,1000,1000
S2,F3,55.86676027120018,52.25460939081159,-3.6121508803885796,-5.221931289212707,-1.8887244484922177,0.999000999000999,36,61,1000,1000
S2,F4,56.140482695810576,53.15239829993933,-2.988084395871283,-4.79672637117993,-1.082776765836879,0.999000999000999,36,61,1000,1000
S2,P3,56.63616423800855,55.04350586925719,-1.5926583687512634,-3.299180327868861,0.04054088241246695,0.972027972027972,36,61,1000,1000
S2,P4,56.36284405990697,54.62295587937662,-1.7398881805302582,-3.4686171827565215,0.012712507589563935,0.977022977022977,36,61,1000,1000
S2,FC1,57.103372293057994,53.91757741347911,-3.185794879579033,-4.5312816231532125,-1.8492587532888167,0.999000999000999,36,61,1000,1000
S2,FC2,55.537446873102546,52.22757032989273,-3.3098765432098776,-5.1690573770491755,-1.406344869459625,0.999000999000999,36,61,1000,1000
S2,CP1,56.739743978951594,54.59739931188011,-2.142344667071442,-3.8253263509410984,-0.4195759967617924,0.988011988011988,36,61,1000,1000
S2,CP2,56.3047864804696,54.00326097955882,-2.3015255009107483,-3.9270896579639833,-0.6396731430884512,0.9920079920079921,36,61,1000,1000
