state,electrode,rho_within,rho_within_sd,rho_pooled,rho_submean,n_subjects
S2,Fz,-0.5749165142954442,0.10530508887926138,-0.6388176535801885,-0.7902187902187903,36
S2,Cz,-0.5672817634361542,0.1040529206699601,-0.5906199162371865,-0.7227799227799228,36
S2,Pz,-0.5788762861416274,0.11266233992335711,-0.6188637057629968,-0.6998712998712999,36
S2,C3,-0.5946062275878781,0.12308921420748467,-0.6384432610063342,-0.7583011583011583,36
S2,C4,-0.6011494288585304,0.10660848897184823,-0.6365088175126509,-0.7482625482625482,36
S2,T3,-0.7135892839005022,0.12020333617248873,-0.7065996548963549,-0.7601029601029601,36
S2,T4,-0.7255350045185225,0.10734772867359152,-0.7405853578908925,-0.8504504504504504,36
S2,Fp1,-0.6620707507623009,0.11069397325699297,-0.6826289064252332,-0.7994851994851995,36
S2,Fp2,-0.664140757688563,0.10055994316213948,-0.6766615941466799,-0.7835263835263835,36
S2,O1,-0.5790099784441674,0.10023191083104832,-0.6041629952060107,-0.6447876447876448,36
S2,O2,-0.5866220493932237,0.10130854428505322,-0.6259366818081264,-0.7248391248391248,36
S2,F3,-0.6214274312899245,0.11552576817937506,-0.6388423144650304,-0.6880308880308881,36
S2,F4,-0.6362608135280288,0.10898492529134021,-0.6663143823593423,-0.7812097812097812,36
S2,P3,-0.6071084444743697,0.11433296690328806,-0.6178586300162956,-0.6146718146718146,36
S2,P4,-0.6110781805767619,0.10617208596302574,-0.6317765336617157,-0.6826254826254826,36
S2,FC1,-0.5718220556710565,0.1127586021989168,-0.6040423576640157,-0.7333333333333333,36
S2,FC2,-0.5804834216972842,0.11001953751342465,-0.6121264582305778,-0.7317889317889318,36
S2,CP1,-0.5843390133222498,0.11896240215335374,-0.6271854823098526,-0.7420849420849421,36
S2,CP2,-0.5888593361537962,0.1013420046846654,-0.635669921776498,-0.7639639639639639,36
SWS,Fz,-0.7732875395178405,0.10098457058503056,-0.7663536056004472,-0.6723294723294724,36
SWS,Cz,-0.7382176299799406,0.10203714258841509,-0.7112753529129835,-0.5770913770913771,36
SWS,Pz,-0.8081987527468827,0.08572667508173241,-0.7923506363858167,-0.6102960102960103,36
SWS,C3,-0.7732919453712878,0.08771222073283155,-0.7440303954306616,-0.5922779922779923,36
SWS,C4,-0.7803733081804078,0.0734060901997129,-0.7618308903284541,-0.5724581724581724,36
SWS,T3,-0.7967213451280442,0.08422191398135177,-0.7881271990511364,-0.7181467181467182,36
SWS,T4,-0.7920396676837532,0.0923518164761955,-0.8012580413237866,-0.7711711711711712,36
SWS,Fp1,-0.7378283695588661,0.10679983825806126,-0.7398124208185805,-0.6422136422136422,36
SWS,Fp2,-0.738945325960079,0.09967743987793373,-0.7425762282856032,-0.7276705276705276,36
SWS,O1,-0.8148437781960579,0.10306953868250518,-0.8166939307312295,-0.6882882882882883,36
SWS,O2,-0.8189519312669825,0.11242492071244256,-0.814951306275032,-0.6761904761904762,36
