state,electrode,acc_reference_pct,acc_both_pct,gain_pts,gain_ci_lo,gain_ci_hi,p_gain_maxstat,n_subjects,n_trials,n_bootstraps,n_perm
S2,O2,57.14134284557779,55.90678759360458,-1.2345552519732836,-2.7840391621129217,0.4646073669297735,,36,61,200,0
S2,F3,55.59619763205828,51.77079538554946,-3.825402246508801,-5.324263812993324,-1.9258500303582249,,36,61,200,0
S2,F4,55.7932857721109,52.73786935842948,-3.05541641368144,-4.804379174256228,-1.215214531471361,,36,61,200,0
S2,P3,56.32488362679622,54.67381349929168,-1.6510701275045565,-3.3963899008297966,0.2514673143088405,,36,61,200,0
S2,P4,56.06482746407608,54.042843047966,-2.0219844161101026,-3.607316332726169,-0.3562031977332404,,36,61,200,0
S2,FC1,56.90551001821492,53.9798117789921,-2.925698239222832,-4.328830196316541,-1.5495345071847848,,36,61,200,0
S2,O1,56.04471513863592,55.94949149969644,-0.0952236389394852,-2.084029042703905,1.7662795992714018,,36,61,200,0
S2,Fp2,51.41922181744584,48.84809502125078,-2.571126796195104,-5.674521857923505,5.343364197530878,,36,61,200,0
S2,Pz,56.79405737704919,54.08270087026917,-2.711356506780003,-4.272604229912973,-1.3812360858125858,,36,61,200,0
S2,C3,56.210091580651735,52.70083232139242,-3.509259259259258,-5.088291843756337,-1.6663504351345793,,36,61,200,0
S2,C4,55.57542754503137,51.91688170410848,-3.658545840922891,-5.373722424610407,-1.7313676381299306,,36,61,200,0
S2,T3,50.29452539971665,49.19773325237804,-1.0967921473385964,-5.266709674155033,8.075731127302168,,36,61,200,0
S2,T4,42.87677089657962,40.30596033191663,-2.570810564663024,-7.830461951022068,7.118182048168397,,36,61,200,0
S2,FC2,55.60526715239829,51.93803126897386,-3.667235883424405,-5.570165452337574,-1.7686829589151971,,36,61,200,0
S2,CP1,55.87097753491192,53.64365766039263,-2.227319874519328,-3.9115310665857135,-0.4360200364298809,,36,61,200,0
S2,CP2,56.22353774539568,53.947239931188015,-2.2762978142076524,-3.90248684476827,-0.534684274438365,,36,61,200,0
S2,Cz,56.09485681036228,53.06180429062943,-3.0330525197328497,-4.26824023477028,-1.8822733252378048,,36,61,200,0
S2,Fp1,47.42748178506374,50.664971665654726,3.237489880590975,-3.4161859947379014,12.07738818053026,,36,61,200,0
S2,Fz,56.6343984011334,54.15535822707952,-2.4790401740538357,-3.809957498482086,-1.0732898198745349,,36,61,200,0
SWS,Pz,53.319469742966994,59.582397287998376,6.262927545031372,3.666325136612037,9.049724246104022,,36,61,200,0
SWS,Fz,54.96907255616272,57.85655737704918,2.8874848208864607,0.7008955676988469,5.641127808135998,,36,61,200,0
SWS,Cz,56.07447885043514,57.271959117587535,1.1974802671523983,-0.6063423396073643,3.0452464076098127,,36,61,200,0
SWS,C4,53.80727585509003,56.83486389394861,3.0275880388585312,0.7322657356810395,5.626454665047566,,36,61,200,0
SWS,C3,54.52195911758755,56.842504047763576,2.320544930176078,0.3839050799433333,4.756881198138024,,36,61,200,0
SWS,T4,41.90652195911757,53.46102762598661,11.554505666869051,3.9645314713620703,16.043437563246297,,36,61,200,0
SWS,T3,44.08612882007687,56.189447986237575,12.103319166160691,4.114741449099382,18.65797662416516,,36,61,200,0
SWS,F4,53.343250354179325,55.81725612224246,2.4740057680631478,0.6577615867233483,5.316863995142689,,36,61,200,0
SWS,F3,54.25829791540173,55.52369206638328,1.2653941509815825,-0.7334041691965231,3.213924306820471,,36,61,200,0
SWS,O2,51.82416261890308,61.44482392228296,9.620661303379888,7.491145517101798,12.34321240639547,,36,61,200,0
SWS,O1,49.6756476421777,58.32845071847805,8.652803076300346,5.125607164541592,16.230393645011134,,36,61,200,0
SWS,Fp2,42.478243270592976,52.73528890912771,10.257045638534713,1.3850941105039425,15.307124063954666,,36,61,200,0
SWS,Fp1,41.33352307225257,52.45481683869663,11.121293766444047,5.235149767253591,15.1703223031775,,36,61,200,0
SWS,P4,52.271895871281146,59.479179315927965,7.207283444646833,4.7050824731835545,10.002087128111722,,36,61,200,0
SWS,P3,53.05162163529648,59.20331157660391,6.151689941307426,3.61123760372394,9.387586014976725,,36,61,200,0
SWS,FC2,55.41621129326047,58.26724094312894,2.8510296498684484,1.0336343857518897,5.331600384537521,,36,61,200,0
SWS,FC1,55.54209674155028,58.14980520137624,2.607708459825949,0.6485276259866464,4.626087836470351,,36,61,200,0
SWS,CP2,53.70503187613844,58.6984416110099,4.993409734871484,2.415882412467105,8.015773628820076,,36,61,200,0
SWS,CP1,53.34058136004859,57.90601598866627,4.565434628617691,2.4031066585711462,8.461849827970047,,36,61,200,0
NREM,P3,54.91051912568305,58.01023325237807,3.099714126695003,0.8901285164946288,5.557073466909524,,36,61,200,0
NREM,F4,55.54695405788303,55.70991449099376,0.1629604331107056,-2.085040983606555,2.6890432098765498,,36,61,200,0
NREM,FC1,55.56313246306415,57.07447885043512,1.511346387370979,-0.4025627403359397,3.6923193685488855,,36,61,200,0
NREM,P4,55.07837482291036,57.58431997571341,2.505945152803076,0.5924913985023142,5.384600789313899,,36,61,200,0
NREM,CP1,54.71120471564459,57.048762902246544,2.3375581866019024,0.315093098563054,4.77395770087026,,36,61,200,0
NREM,FC2,54.426292754503145,56.41165755919852,1.985364804695404,0.0209977737300079,4.351662112932617,,36,61,200,0
NREM,CP2,54.925091074681234,57.326679821898416,2.401588747217162,0.3844110503946482,4.786543715847006,,36,61,200,0
NREM,T3,50.24010827767659,53.80587178708765,3.5657635094110507,-0.8706486541186109,13.36976320582877,,36,61,200,0
NREM,Pz,55.23202539971667,57.678885853066205,2.446860453349524,0.3283748229103373,5.124531977332527,,36,61,200,0
NREM,C3,55.14407508601498,56.31299332119005,1.1689182351750655,-0.9303531673750284,3.175091074681238,,36,61,200,0
NREM,Fp1,50.97869864399917,53.42875936045335,2.45006071645416,-1.8999190447277827,12.256564966605945,,36,61,200,0
NREM,T4,50.055606152600674,50.933388990082975,0.8777828374822917,-3.357936146529041,8.85581107063347,,36,61,200,0
NREM,Fz,55.00513560008095,57.0770466504756,2.0719110503946565,0.2441939890710457,4.107215138635896,,36,61,200,0
NREM,Cz,55.37617638129934,56.12483555960333,0.748659178303988,-1.1981380287391157,3.114374620522167,,36,61,200,0
NREM,F3,55.3641975308642,55.69225612224247,0.328058591378263,-1.766153106658584,2.3483986035215576,,36,61,200,0
NREM,O2,55.81982392228289,59.56540933009513,3.745585407812184,1.4768645011131385,6.3766191054442345,,36,61,200,0
